datetime,temperature real,temperature predict,humidity real,humidity predict
04/04/2021 18:38,22.0,26.18,77.0,50.67
04/04/2021 18:49,22.0,26.25,77.0,50.38
04/04/2021 18:59,22.0,26.31,78.0,50.12
04/04/2021 19:09,22.0,26.37,78.0,49.85
04/04/2021 19:19,22.0,26.44,79.0,49.59
04/04/2021 19:29,22.0,26.5,80.0,49.33
04/04/2021 19:51,22.0,26.64,81.0,48.75
04/04/2021 20:01,22.0,26.7,81.0,48.48
04/04/2021 20:11,22.0,26.77,80.0,48.22
04/04/2021 20:22,22.0,26.83,81.0,47.93
04/04/2021 20:32,22.0,26.9,81.0,47.67
04/04/2021 20:42,21.0,26.96,83.0,47.4
04/04/2021 20:52,21.0,27.02,84.0,47.14
04/04/2021 21:03,21.0,27.09,84.0,46.85
04/04/2021 21:13,21.0,27.16,85.0,46.59
04/04/2021 21:23,21.0,27.22,85.0,46.32
04/04/2021 21:33,21.0,27.28,85.0,46.06
04/04/2021 21:43,21.0,27.35,86.0,45.79
04/04/2021 21:54,21.0,27.42,87.0,45.51
04/04/2021 22:04,21.0,27.48,87.0,45.24
04/04/2021 22:14,21.0,27.54,83.0,44.98
04/04/2021 22:24,21.0,27.61,84.0,44.71
04/04/2021 22:34,21.0,27.67,84.0,44.45
04/04/2021 22:45,21.0,27.74,84.0,44.16
04/04/2021 22:56,21.0,27.81,84.0,43.87
04/04/2021 23:12,21.0,27.91,87.0,43.45
05/04/2021 12:11,26.0,-4.21,63.0,45.61
05/04/2021 12:13,26.0,13.77,63.0,55.89
05/04/2021 12:14,26.0,-1.53,63.0,46.06
05/04/2021 12:26,26.0,27.11,62.0,40.16
05/04/2021 13:37,26.0,22.69,62.0,72.65
05/04/2021 13:47,26.0,26.78,62.0,73.54
05/04/2021 13:57,26.0,28.81,62.0,74.0
05/04/2021 14:08,26.0,26.35,63.0,74.15
05/04/2021 14:18,27.0,24.62,62.0,73.87
05/04/2021 14:28,27.0,26.98,62.0,73.18
05/04/2021 14:39,27.0,28.92,62.0,72.16
05/04/2021 14:49,26.0,26.71,63.0,70.8
05/04/2021 14:59,26.0,23.99,63.0,69.32
05/04/2021 15:10,26.0,26.58,62.0,67.81
05/04/2021 15:20,26.0,27.21,62.0,66.09
05/04/2021 15:30,26.0,25.46,62.0,64.03
05/04/2021 15:40,26.0,26.32,62.0,62.11
05/04/2021 15:51,26.0,25.59,62.0,59.99
05/04/2021 16:01,26.0,25.95,63.0,59.97
05/04/2021 16:12,26.0,26.2,62.0,60.91
05/04/2021 17:03,20.0,30.16,90.0,99.49
05/04/2021 17:14,20.0,20.82,90.0,96.05
05/04/2021 17:24,25.0,13.48,67.0,91.25
05/04/2021 17:34,24.0,11.17,68.0,84.44
05/04/2021 17:44,24.0,13.63,69.0,76.81
05/04/2021 17:54,24.0,19.28,70.0,69.47
05/04/2021 18:05,22.0,25.78,84.0,63.45
05/04/2021 18:15,22.0,30.11,84.0,60.64
05/04/2021 18:25,22.0,30.64,85.0,61.89
05/04/2021 18:35,21.0,27.5,85.0,66.57
05/04/2021 18:45,21.0,22.25,85.0,73.56
05/04/2021 18:56,21.0,17.29,86.0,81.5
05/04/2021 19:06,21.0,14.88,86.0,88.99
05/04/2021 19:16,21.0,15.61,90.0,94.98
05/04/2021 19:26,21.0,18.78,90.0,99.16
05/04/2021 19:37,21.0,22.56,90.0,101.17
05/04/2021 19:47,21.0,24.97,90.0,100.76
05/04/2021 19:57,21.0,24.97,91.0,98.41
05/04/2021 20:07,21.0,22.89,91.0,94.74
05/04/2021 20:17,21.0,20.15,85.0,90.85
05/04/2021 20:28,21.0,18.6,86.0,87.44
05/04/2021 20:38,21.0,19.07,87.0,84.31
05/04/2021 20:48,21.0,20.88,87.0,82.69
05/04/2021 20:58,21.0,22.75,88.0,83.21
05/04/2021 21:08,21.0,21.85,88.0,85.58
05/04/2021 21:19,21.0,20.26,88.0,88.44
05/04/2021 21:29,21.0,19.72,88.0,90.7
05/04/2021 21:39,21.0,20.59,85.0,91.47
